A,B,Du,Dv,ic_type,initial_condition
1.959421,3.617147,1.0478766,9.917789,"normal","{'sigma_u': 0.2, 'sigma_v': 0.2}"
1.830595,2.658617,0.83396995,9.981121,"normal","{'sigma_u': 0.2, 'sigma_v': 0.2}"
3.9709423,8.203847,1.0154369,6.9451456,"normal","{'sigma_u': 0.2, 'sigma_v': 0.2}"
3.984374,6.4387307,0.8958148,7.819432,"normal","{'sigma_u': 0.2, 'sigma_v': 0.2}"
4.3422685,10.339475,0.9011341,6.981352,"normal","{'sigma_u': 0.1, 'sigma_v': 0.1}"
4.512268,9.825599,0.8167208,5.349523,"normal","{'sigma_u': 0.2, 'sigma_v': 0.2}"
3.179263,4.0715694,1.1030782,12.918217,"normal","{'sigma_u': 0.2, 'sigma_v': 0.2}"
1.80992,2.1362314,0.96069795,8.374047,"normal","{'sigma_u': 0.1, 'sigma_v': 0.1}"
4.3976226,7.37234,1.051508,9.231006,"normal","{'sigma_u': 0.1, 'sigma_v': 0.1}"
4.2288513,8.274233,1.2973979,7.7760367,"normal","{'sigma_u': 0.2, 'sigma_v': 0.2}"
