,A,B,Du,Dv
66,1.2368422,1.4927405,1.0,7.0
606,3.368421,4.0653358,1.0,7.0
249,1.9473684,2.4845736,1.0,11.0
189,1.7105263,2.1823957,1.0,11.0
367,2.4210527,2.92196,1.0,11.0
620,3.368421,5.69147,1.0,7.0
849,4.3157897,5.506352,1.0,11.0
991,4.7894735,9.744102,1.0,11.0
926,4.5526314,8.634301,1.0,7.0
1096,5.263158,8.166969,1.0,7.0
789,4.0789475,5.204174,1.0,11.0
436,2.6578948,4.1243196,1.0,7.0
922,4.5526314,8.006352,1.0,7.0
980,4.7894735,8.092559,1.0,7.0
559,3.131579,5.0753174,1.0,11.0
935,4.5526314,9.8902,1.0,11.0
377,2.4210527,3.756806,1.0,11.0
315,2.1842105,3.238657,1.0,11.0
1046,5.0263157,9.532668,1.0,7.0
729,3.8421052,4.901996,1.0,11.0
488,2.8947368,3.693285,1.0,7.0
870,4.3157897,8.780399,1.0,7.0
791,4.0789475,5.485481,1.0,11.0
984,4.7894735,8.753176,1.0,7.0
970,4.7894735,6.441016,1.0,7.0
251,1.9473684,2.6188748,1.0,11.0
914,4.5526314,6.750454,1.0,7.0
1152,5.5,7.775862,1.0,7.0
1048,5.0263157,9.879311,1.0,7.0
253,1.9473684,2.753176,1.0,11.0
257,1.9473684,3.0217786,1.0,11.0
863,4.3157897,7.5898366,1.0,11.0
805,4.0789475,7.454628,1.0,11.0
1107,5.263158,9.981852,1.0,11.0
27,1.0,1.8965517,1.0,11.0
239,1.7105263,5.131579,1.0,11.0
162,1.4736842,3.6079855,1.0,7.0
146,1.4736842,2.7949183,1.0,7.0
476,2.6578948,7.790381,1.0,7.0
321,2.1842105,3.6905627,1.0,11.0
410,2.4210527,6.595281,1.0,7.0
395,2.4210527,5.259528,1.0,11.0
388,2.4210527,4.7586207,1.0,7.0
214,1.7105263,3.715971,1.0,7.0
284,1.9473684,4.901996,1.0,7.0
530,2.8947368,7.8856626,1.0,7.0
51,1.0,2.724138,1.0,11.0
141,1.4736842,2.4900181,1.0,11.0
517,2.8947368,6.488203,1.0,11.0
574,3.131579,6.8030853,1.0,7.0
