,A,B,Du,Dv
10,1.0,1.3448275,1.0,7.0
188,1.7105263,2.1823957,1.0,7.0
1089,5.263158,6.7150636,1.0,11.0
72,1.2368422,1.7486389,1.0,7.0
186,1.7105263,2.0644283,1.0,7.0
809,4.0789475,8.0172415,1.0,11.0
1100,5.263158,8.892922,1.0,7.0
867,4.3157897,8.185118,1.0,11.0
914,4.5526314,6.750454,1.0,7.0
680,3.6052632,6.0916514,1.0,7.0
615,3.368421,4.9945555,1.0,11.0
972,4.7894735,6.7713246,1.0,7.0
803,4.0789475,7.1733212,1.0,11.0
990,4.7894735,9.744102,1.0,7.0
979,4.7894735,7.7622504,1.0,11.0
989,4.7894735,9.413794,1.0,11.0
736,3.8421052,5.9618874,1.0,7.0
497,2.8947368,4.491833,1.0,11.0
193,1.7105263,2.4183302,1.0,11.0
856,4.3157897,6.6969147,1.0,7.0
23,1.0,1.7586207,1.0,11.0
1028,5.0263157,6.4128857,1.0,7.0
1105,5.263158,9.618875,1.0,11.0
977,4.7894735,7.431942,1.0,11.0
984,4.7894735,8.753176,1.0,7.0
1044,5.0263157,9.186026,1.0,7.0
731,3.8421052,5.1669693,1.0,11.0
621,3.368421,5.69147,1.0,11.0
865,4.3157897,7.8874774,1.0,11.0
369,2.4210527,3.0889292,1.0,11.0
548,3.131579,3.995463,1.0,7.0
683,3.6052632,6.3402905,1.0,11.0
429,2.6578948,3.391107,1.0,11.0
919,4.5526314,7.3784027,1.0,11.0
553,3.131579,4.427405,1.0,11.0
93,1.2368422,2.6016333,1.0,11.0
239,1.7105263,5.131579,1.0,11.0
119,1.2368422,3.7105262,1.0,11.0
414,2.4210527,6.9292197,1.0,7.0
320,2.1842105,3.6905627,1.0,7.0
575,3.131579,6.8030853,1.0,11.0
269,1.9473684,3.8275862,1.0,11.0
463,2.6578948,6.5072594,1.0,11.0
105,1.2368422,3.11343,1.0,11.0
287,1.9473684,5.036298,1.0,11.0
812,4.0789475,8.579855,1.0,7.0
767,3.8421052,9.93648,1.0,11.0
338,2.1842105,5.0462794,1.0,7.0
417,2.4210527,7.0961885,1.0,11.0
234,1.7105263,4.895644,1.0,7.0
