A,B,Du,Dv,ic_type,initial_condition
0.069943,0.060895,0.190768,0.101063,point_sources,"{""density"": 0.01}"
0.030094,0.0608,0.202048,0.096863,point_sources,"{""density"": 0.01}"
0.025529,0.059969,0.20074,0.100767,point_sources,"{""density"": 0.02}"
0.020271,0.047767,0.205713,0.098137,point_sources,"{""density"": 0.02}"
0.024723,0.059623,0.198206,0.09914,point_sources,"{""density"": 0.01}"
0.071541,0.061058,0.203151,0.102544,point_sources,"{""density"": 0.01}"
0.017687,0.050035,0.195587,0.100582,point_sources,"{""density"": 0.01}"
0.038307,0.0577,0.209425,0.100213,point_sources,"{""density"": 0.01}"
0.014345,0.054812,0.197101,0.100436,point_sources,"{""density"": 0.01}"
0.024837,0.059073,0.190987,0.100865,point_sources,"{""density"": 0.01}"
