,A,B,Du,Dv
0,1.0,0.6,1,7.0
1,1.0,0.6,1,11.0
2,1.0,0.6615384615384615,1,7.0
3,1.0,0.6615384615384615,1,11.0
4,1.0,0.7230769230769231,1,7.0
5,1.0,0.7230769230769231,1,11.0
6,1.0,0.7846153846153846,1,7.0
7,1.0,0.7846153846153846,1,11.0
8,1.0,0.8461538461538461,1,7.0
9,1.0,0.8461538461538461,1,11.0
10,1.0,0.9076923076923076,1,7.0
11,1.0,0.9076923076923076,1,11.0
12,1.0,0.9692307692307691,1,7.0
13,1.0,0.9692307692307691,1,11.0
14,1.0,1.0307692307692307,1,7.0
15,1.0,1.0307692307692307,1,11.0
16,1.0,1.0923076923076922,1,7.0
17,1.0,1.0923076923076922,1,11.0
18,1.0,1.1538461538461537,1,7.0
19,1.0,1.1538461538461537,1,11.0
20,1.0,1.2153846153846153,1,7.0
21,1.0,1.2153846153846153,1,11.0
22,1.0,1.2769230769230768,1,7.0
23,1.0,1.2769230769230768,1,11.0
24,1.0,1.3384615384615384,1,7.0
25,1.0,1.3384615384615384,1,11.0
26,1.0,1.4,1,7.0
27,1.0,1.4,1,11.0
28,1.0,1.4615384615384615,1,7.0
29,1.0,1.4615384615384615,1,11.0
30,1.0,1.523076923076923,1,7.0
31,1.0,1.523076923076923,1,11.0
32,1.0,1.5846153846153845,1,7.0
33,1.0,1.5846153846153845,1,11.0
34,1.0,1.646153846153846,1,7.0
35,1.0,1.646153846153846,1,11.0
36,1.0,1.7076923076923074,1,7.0
37,1.0,1.7076923076923074,1,11.0
38,1.0,1.7692307692307692,1,7.0
39,1.0,1.7692307692307692,1,11.0
40,1.0,1.8307692307692305,1,7.0
41,1.0,1.8307692307692305,1,11.0
42,1.0,1.8923076923076922,1,7.0
43,1.0,1.8923076923076922,1,11.0
44,1.0,1.9538461538461536,1,7.0
45,1.0,1.9538461538461536,1,11.0
46,1.0,2.0153846153846153,1,7.0
47,1.0,2.0153846153846153,1,11.0
48,1.0,2.0769230769230766,1,7.0
49,1.0,2.0769230769230766,1,11.0
50,1.0,2.1384615384615384,1,7.0
51,1.0,2.1384615384615384,1,11.0
52,1.0,2.1999999999999997,1,7.0
53,1.0,2.1999999999999997,1,11.0
54,1.0,2.2615384615384615,1,7.0
55,1.0,2.2615384615384615,1,11.0
56,1.0,2.323076923076923,1,7.0
57,1.0,2.323076923076923,1,11.0
58,1.0,2.3846153846153846,1,7.0
59,1.0,2.3846153846153846,1,11.0
60,1.0,2.446153846153846,1,7.0
61,1.0,2.446153846153846,1,11.0
62,1.0,2.5076923076923077,1,7.0
63,1.0,2.5076923076923077,1,11.0
64,1.0,2.569230769230769,1,7.0
65,1.0,2.569230769230769,1,11.0
66,1.0,2.6307692307692307,1,7.0
67,1.0,2.6307692307692307,1,11.0
68,1.0,2.692307692307692,1,7.0
69,1.0,2.692307692307692,1,11.0
70,1.0,2.753846153846154,1,7.0
71,1.0,2.753846153846154,1,11.0
72,1.0,2.815384615384615,1,7.0
73,1.0,2.815384615384615,1,11.0
74,1.0,2.876923076923077,1,7.0
75,1.0,2.876923076923077,1,11.0
76,1.0,2.9384615384615382,1,7.0
77,1.0,2.9384615384615382,1,11.0
78,1.0,3.0,1,7.0
79,1.0,3.0,1,11.0
80,1.1153846153846154,0.6692307692307692,1,7.0
81,1.1153846153846154,0.6692307692307692,1,11.0
82,1.1153846153846154,0.737869822485207,1,7.0
83,1.1153846153846154,0.737869822485207,1,11.0
84,1.1153846153846154,0.806508875739645,1,7.0
85,1.1153846153846154,0.806508875739645,1,11.0
