,A,B,Du,Dv
0,0.5,2.5,1.0,8.0
1,0.5,2.6666666666666665,1.0,8.0
2,0.5,2.8333333333333335,1.0,8.0
3,0.5,3.0,1.0,8.0
4,0.5,3.1666666666666665,1.0,8.0
5,0.5,3.333333333333333,1.0,8.0
6,0.5,3.5,1.0,8.0
7,0.5,3.6666666666666665,1.0,8.0
8,0.5,3.833333333333333,1.0,8.0
9,0.5,4.0,1.0,8.0
10,0.75,3.75,1.0,8.0
11,0.75,4.0,1.0,8.0
12,0.75,4.25,1.0,8.0
13,0.75,4.5,1.0,8.0
14,0.75,4.75,1.0,8.0
15,0.75,5.0,1.0,8.0
16,0.75,5.25,1.0,8.0
17,0.75,5.5,1.0,8.0
18,0.75,5.75,1.0,8.0
19,0.75,6.0,1.0,8.0
20,1.0,5.0,1.0,8.0
21,1.0,5.333333333333333,1.0,8.0
22,1.0,5.666666666666667,1.0,8.0
23,1.0,6.0,1.0,8.0
24,1.0,6.333333333333333,1.0,8.0
25,1.0,6.666666666666666,1.0,8.0
26,1.0,7.0,1.0,8.0
27,1.0,7.333333333333333,1.0,8.0
28,1.0,7.666666666666666,1.0,8.0
29,1.0,8.0,1.0,8.0
30,1.25,6.25,1.0,8.0
31,1.25,6.666666666666666,1.0,8.0
32,1.25,7.083333333333334,1.0,8.0
33,1.25,7.5,1.0,8.0
34,1.25,7.916666666666666,1.0,8.0
35,1.25,8.333333333333332,1.0,8.0
36,1.25,8.75,1.0,8.0
37,1.25,9.166666666666666,1.0,8.0
38,1.25,9.583333333333332,1.0,8.0
39,1.25,10.0,1.0,8.0
40,1.5,7.5,1.0,8.0
41,1.5,8.0,1.0,8.0
42,1.5,8.5,1.0,8.0
43,1.5,9.0,1.0,8.0
44,1.5,9.5,1.0,8.0
45,1.5,10.0,1.0,8.0
46,1.5,10.5,1.0,8.0
47,1.5,11.0,1.0,8.0
48,1.5,11.5,1.0,8.0
49,1.5,12.0,1.0,8.0
