,A,B,Du,Dv
0,0.5,0.8764072880955023,2.0,22.0
1,0.5,0.889227800916015,2.0,22.0
2,0.5,0.9020483137365279,2.0,22.0
3,0.5,0.9148688265570407,2.0,22.0
4,0.5,0.9276893393775536,2.0,22.0
5,0.5,0.9405098521980664,2.0,22.0
6,0.5,0.9533303650185792,2.0,22.0
7,0.5,0.966150877839092,2.0,22.0
8,0.5,0.9789713906596048,2.0,22.0
9,0.5,0.9917919034801177,2.0,22.0
10,0.5,1.0046124163006305,2.0,22.0
11,0.5,1.0174329291211432,2.0,22.0
12,0.5,1.0302534419416562,2.0,22.0
13,0.5,1.043073954762169,2.0,22.0
14,0.5,1.0558944675826818,2.0,22.0
15,0.5,1.0687149804031946,2.0,22.0
16,0.5,1.0764072880955022,2.0,22.0
17,0.5,1.0784481044220329,2.0,22.0
18,0.5,1.0804889207485635,2.0,22.0
19,0.5,1.0815354932237073,2.0,22.0
20,0.5,1.0825297370750941,2.0,22.0
21,0.5,1.0845705534016248,2.0,22.0
22,0.5,1.0866113697281552,2.0,22.0
23,0.5,1.0886521860546858,2.0,22.0
24,0.5,1.0906930023812165,2.0,22.0
25,0.5,1.092733818707747,2.0,22.0
26,0.5,1.0943560060442201,2.0,22.0
27,0.5,1.0947746350342777,2.0,22.0
28,0.5,1.0968154513608084,2.0,22.0
29,0.5,1.098856267687339,2.0,22.0
30,0.5,1.1008970840138697,2.0,22.0
31,0.5,1.1029379003404003,2.0,22.0
32,0.5,1.104978716666931,2.0,22.0
33,0.5,1.1070195329934613,2.0,22.0
34,0.5,1.1071765188647331,2.0,22.0
35,0.5,1.109060349319992,2.0,22.0
36,0.5,1.1111011656465226,2.0,22.0
37,0.5,1.1131419819730533,2.0,22.0
38,0.5,1.1151827982995839,2.0,22.0
39,0.5,1.1172236146261145,2.0,22.0
40,0.5,1.1192644309526452,2.0,22.0
41,0.5,1.119997031685246,2.0,22.0
42,0.5,1.1213052472791758,2.0,22.0
43,0.5,1.1233460636057064,2.0,22.0
44,0.5,1.125386879932237,2.0,22.0
45,0.5,1.1274276962587675,2.0,22.0
46,0.5,1.1294685125852981,2.0,22.0
47,0.5,1.1315093289118288,2.0,22.0
48,0.5,1.1328175445057587,2.0,22.0
49,0.5,1.1335501452383594,2.0,22.0
50,0.5,1.13559096156489,2.0,22.0
51,0.5,1.1376317778914207,2.0,22.0
52,0.5,1.1396725942179513,2.0,22.0
53,0.5,1.141713410544482,2.0,22.0
54,0.5,1.1437542268710126,2.0,22.0
55,0.5,1.1456380573262714,2.0,22.0
56,0.5,1.1457950431975432,2.0,22.0
57,0.5,1.1478358595240736,2.0,22.0
58,0.5,1.1498766758506043,2.0,22.0
59,0.5,1.151917492177135,2.0,22.0
60,0.5,1.1539583085036655,2.0,22.0
61,0.5,1.1559991248301962,2.0,22.0
62,0.5,1.1580399411567268,2.0,22.0
63,0.5,1.1584585701467844,2.0,22.0
64,0.5,1.1600807574832575,2.0,22.0
65,0.5,1.162121573809788,2.0,22.0
66,0.5,1.1641623901363187,2.0,22.0
67,0.5,1.1662032064628494,2.0,22.0
68,0.5,1.1682440227893798,2.0,22.0
69,0.5,1.1702848391159104,2.0,22.0
70,0.5,1.1712790829672972,2.0,22.0
71,0.5,1.172325655442441,2.0,22.0
72,0.5,1.1743664717689717,2.0,22.0
73,0.5,1.1764072880955023,2.0,22.0
74,0.5,1.18409959578781,2.0,22.0
75,0.5,1.1969201086083228,2.0,22.0
76,0.5,1.2097406214288355,2.0,22.0
77,0.5,1.2225611342493483,2.0,22.0
78,0.5,1.2353816470698613,2.0,22.0
79,0.5,1.248202159890374,2.0,22.0
80,0.5,1.2610226727108869,2.0,22.0
81,0.5,1.2738431855313996,2.0,22.0
82,0.5,1.2866636983519126,2.0,22.0
83,0.5,1.2994842111724254,2.0,22.0
84,0.5,1.3123047239929382,2.0,22.0
85,0.5,1.325125236813451,2.0,22.0
86,0.5,1.3379457496339637,2.0,22.0
87,0.5,1.3507662624544765,2.0,22.0
88,0.5,1.3635867752749895,2.0,22.0
89,0.5,1.3764072880955023,2.0,22.0
90,0.6,0.9985563382618223,2.0,22.0
91,0.6,1.0139409536464377,2.0,22.0
92,0.6,1.029325569031053,2.0,22.0
93,0.6,1.0447101844156683,2.0,22.0
94,0.6,1.0600947998002839,2.0,22.0
95,0.6,1.0754794151848992,2.0,22.0
96,0.6,1.0908640305695145,2.0,22.0
97,0.6,1.10624864595413,2.0,22.0
98,0.6,1.1216332613387454,2.0,22.0
99,0.6,1.1370178767233607,2.0,22.0
100,0.6,1.152402492107976,2.0,22.0
101,0.6,1.1677871074925914,2.0,22.0
102,0.6,1.183171722877207,2.0,22.0
103,0.6,1.1985563382618223,2.0,22.0
104,0.6,1.2139409536464376,2.0,22.0
105,0.6,1.229325569031053,2.0,22.0
