,A,B,Du,Dv
0,3.0,4.5,2.0,22.0
1,3.0,4.973684210526316,2.0,22.0
2,3.0,5.447368421052632,2.0,22.0
3,3.0,5.921052631578947,2.0,22.0
4,3.0,6.394736842105264,2.0,22.0
5,3.0,6.86842105263158,2.0,22.0
6,3.0,7.342105263157894,2.0,22.0
7,3.0,7.815789473684211,2.0,22.0
8,3.0,8.289473684210526,2.0,22.0
9,3.0,8.763157894736842,2.0,22.0
10,3.0,9.236842105263158,2.0,22.0
11,3.0,9.710526315789473,2.0,22.0
12,3.0,10.184210526315788,2.0,22.0
13,3.0,10.657894736842104,2.0,22.0
14,3.0,11.131578947368421,2.0,22.0
15,3.0,11.605263157894736,2.0,22.0
16,3.0,12.078947368421051,2.0,22.0
17,3.0,12.552631578947368,2.0,22.0
18,3.0,13.026315789473685,2.0,22.0
19,3.0,13.5,2.0,22.0
20,3.25,4.875,2.0,22.0
21,3.25,5.452302631578947,2.0,22.0
22,3.25,6.029605263157895,2.0,22.0
23,3.25,6.6069078947368425,2.0,22.0
24,3.25,7.1842105263157885,2.0,22.0
25,3.25,7.761513157894736,2.0,22.0
26,3.25,8.338815789473685,2.0,22.0
27,3.25,8.91611842105263,2.0,22.0
28,3.25,9.493421052631579,2.0,22.0
29,3.25,10.070723684210527,2.0,22.0
30,3.25,10.648026315789473,2.0,22.0
31,3.25,11.225328947368421,2.0,22.0
32,3.25,11.80263157894737,2.0,22.0
33,3.25,12.379934210526315,2.0,22.0
34,3.25,12.957236842105264,2.0,22.0
35,3.25,13.534539473684209,2.0,22.0
36,3.25,14.111842105263158,2.0,22.0
37,3.25,14.689144736842106,2.0,22.0
38,3.25,15.266447368421053,2.0,22.0
39,3.25,15.84375,2.0,22.0
40,3.5,5.25,2.0,22.0
41,3.5,5.940789473684211,2.0,22.0
42,3.5,6.631578947368421,2.0,22.0
43,3.5,7.322368421052632,2.0,22.0
44,3.5,8.013157894736842,2.0,22.0
45,3.5,8.703947368421053,2.0,22.0
46,3.5,9.394736842105264,2.0,22.0
47,3.5,10.085526315789474,2.0,22.0
48,3.5,10.776315789473685,2.0,22.0
49,3.5,11.467105263157894,2.0,22.0
50,3.5,12.157894736842106,2.0,22.0
51,3.5,12.848684210526315,2.0,22.0
52,3.5,13.539473684210526,2.0,22.0
53,3.5,14.230263157894736,2.0,22.0
54,3.5,14.921052631578949,2.0,22.0
55,3.5,15.611842105263161,2.0,22.0
56,3.5,16.30263157894737,2.0,22.0
57,3.5,16.993421052631575,2.0,22.0
58,3.5,17.684210526315788,2.0,22.0
59,3.5,18.375,2.0,22.0
60,3.75,5.625,2.0,22.0
61,3.75,6.439144736842105,2.0,22.0
62,3.75,7.253289473684211,2.0,22.0
63,3.75,8.067434210526315,2.0,22.0
64,3.75,8.881578947368421,2.0,22.0
65,3.75,9.695723684210526,2.0,22.0
66,3.75,10.509868421052632,2.0,22.0
67,3.75,11.324013157894738,2.0,22.0
68,3.75,12.138157894736842,2.0,22.0
69,3.75,12.952302631578947,2.0,22.0
70,3.75,13.766447368421053,2.0,22.0
71,3.75,14.580592105263158,2.0,22.0
72,3.75,15.394736842105264,2.0,22.0
73,3.75,16.20888157894737,2.0,22.0
74,3.75,17.023026315789476,2.0,22.0
75,3.75,17.83717105263158,2.0,22.0
76,3.75,18.651315789473685,2.0,22.0
77,3.75,19.46546052631579,2.0,22.0
78,3.75,20.279605263157894,2.0,22.0
79,3.75,21.09375,2.0,22.0
80,4.0,6.0,2.0,22.0
81,4.0,6.947368421052632,2.0,22.0
82,4.0,7.894736842105263,2.0,22.0
83,4.0,8.842105263157894,2.0,22.0
84,4.0,9.789473684210526,2.0,22.0
85,4.0,10.736842105263158,2.0,22.0
86,4.0,11.68421052631579,2.0,22.0
87,4.0,12.631578947368421,2.0,22.0
88,4.0,13.578947368421051,2.0,22.0
89,4.0,14.526315789473683,2.0,22.0
90,4.0,15.473684210526315,2.0,22.0
91,4.0,16.421052631578945,2.0,22.0
92,4.0,17.36842105263158,2.0,22.0
93,4.0,18.315789473684212,2.0,22.0
94,4.0,19.263157894736842,2.0,22.0
95,4.0,20.210526315789473,2.0,22.0
96,4.0,21.157894736842103,2.0,22.0
97,4.0,22.105263157894736,2.0,22.0
98,4.0,23.052631578947366,2.0,22.0
99,4.0,24.0,2.0,22.0
100,4.25,6.375,2.0,22.0
101,4.25,7.465460526315789,2.0,22.0
102,4.25,8.555921052631579,2.0,22.0
103,4.25,9.646381578947368,2.0,22.0
104,4.25,10.736842105263158,2.0,22.0
105,4.25,11.827302631578947,2.0,22.0
