A,B,Du,Dv
2.0,2.2,1,7.0
2.0,2.2,1,8.333333333333334
2.0,2.2,1,9.666666666666666
2.0,2.2,1,11.0
2.0,2.2,1,12.333333333333332
2.0,2.2,1,13.666666666666666
2.0,2.2,1,15.0
2.0,2.2,2,14.0
2.0,2.2,2,16.666666666666668
2.0,2.2,2,19.333333333333332
2.0,2.2,2,22.0
2.0,2.2,2,24.666666666666664
2.0,2.2,2,27.333333333333332
2.0,2.2,2,30.0
2.0,2.5,1,7.0
2.0,2.5,1,8.333333333333334
2.0,2.5,1,9.666666666666666
2.0,2.5,1,11.0
2.0,2.5,1,12.333333333333332
2.0,2.5,1,13.666666666666666
2.0,2.5,1,15.0
2.0,2.5,2,14.0
2.0,2.5,2,16.666666666666668
2.0,2.5,2,19.333333333333332
2.0,2.5,2,22.0
2.0,2.5,2,24.666666666666664
2.0,2.5,2,27.333333333333332
2.0,2.5,2,30.0
2.0,2.8000000000000003,1,7.0
2.0,2.8000000000000003,1,8.333333333333334
2.0,2.8000000000000003,1,9.666666666666666
2.0,2.8000000000000003,1,11.0
2.0,2.8000000000000003,1,12.333333333333332
2.0,2.8000000000000003,1,13.666666666666666
2.0,2.8000000000000003,1,15.0
2.0,2.8000000000000003,2,14.0
2.0,2.8000000000000003,2,16.666666666666668
2.0,2.8000000000000003,2,19.333333333333332
2.0,2.8000000000000003,2,22.0
2.0,2.8000000000000003,2,24.666666666666664
2.0,2.8000000000000003,2,27.333333333333332
2.0,2.8000000000000003,2,30.0
2.0,3.1,1,7.0
2.0,3.1,1,8.333333333333334
2.0,3.1,1,9.666666666666666
2.0,3.1,1,11.0
2.0,3.1,1,12.333333333333332
2.0,3.1,1,13.666666666666666
2.0,3.1,1,15.0
2.0,3.1,2,14.0
2.0,3.1,2,16.666666666666668
2.0,3.1,2,19.333333333333332
2.0,3.1,2,22.0
2.0,3.1,2,24.666666666666664
2.0,3.1,2,27.333333333333332
2.0,3.1,2,30.0
2.0,3.4000000000000004,1,7.0
2.0,3.4000000000000004,1,8.333333333333334
2.0,3.4000000000000004,1,9.666666666666666
2.0,3.4000000000000004,1,11.0
2.0,3.4000000000000004,1,12.333333333333332
2.0,3.4000000000000004,1,13.666666666666666
2.0,3.4000000000000004,1,15.0
2.0,3.4000000000000004,2,14.0
2.0,3.4000000000000004,2,16.666666666666668
2.0,3.4000000000000004,2,19.333333333333332
2.0,3.4000000000000004,2,22.0
2.0,3.4000000000000004,2,24.666666666666664
2.0,3.4000000000000004,2,27.333333333333332
2.0,3.4000000000000004,2,30.0
2.0,3.7,1,7.0
2.0,3.7,1,8.333333333333334
2.0,3.7,1,9.666666666666666
2.0,3.7,1,11.0
2.0,3.7,1,12.333333333333332
2.0,3.7,1,13.666666666666666
2.0,3.7,1,15.0
2.0,3.7,2,14.0
2.0,3.7,2,16.666666666666668
2.0,3.7,2,19.333333333333332
2.0,3.7,2,22.0
2.0,3.7,2,24.666666666666664
2.0,3.7,2,27.333333333333332
2.0,3.7,2,30.0
2.0,4.0,1,7.0
2.0,4.0,1,8.333333333333334
2.0,4.0,1,9.666666666666666
2.0,4.0,1,11.0
2.0,4.0,1,12.333333333333332
2.0,4.0,1,13.666666666666666
2.0,4.0,1,15.0
2.0,4.0,2,14.0
2.0,4.0,2,16.666666666666668
2.0,4.0,2,19.333333333333332
2.0,4.0,2,22.0
2.0,4.0,2,24.666666666666664
2.0,4.0,2,27.333333333333332
2.0,4.0,2,30.0
2.75,3.0250000000000004,1,7.0
2.75,3.0250000000000004,1,8.333333333333334
2.75,3.0250000000000004,1,9.666666666666666
2.75,3.0250000000000004,1,11.0
2.75,3.0250000000000004,1,12.333333333333332
2.75,3.0250000000000004,1,13.666666666666666
2.75,3.0250000000000004,1,15.0
2.75,3.0250000000000004,2,14.0
2.75,3.0250000000000004,2,16.666666666666668
2.75,3.0250000000000004,2,19.333333333333332
2.75,3.0250000000000004,2,22.0
2.75,3.0250000000000004,2,24.666666666666664
2.75,3.0250000000000004,2,27.333333333333332
2.75,3.0250000000000004,2,30.0
2.75,3.4375,1,7.0
2.75,3.4375,1,8.333333333333334
2.75,3.4375,1,9.666666666666666
2.75,3.4375,1,11.0
2.75,3.4375,1,12.333333333333332
2.75,3.4375,1,13.666666666666666
2.75,3.4375,1,15.0
2.75,3.4375,2,14.0
2.75,3.4375,2,16.666666666666668
2.75,3.4375,2,19.333333333333332
2.75,3.4375,2,22.0
2.75,3.4375,2,24.666666666666664
2.75,3.4375,2,27.333333333333332
2.75,3.4375,2,30.0
2.75,3.8500000000000005,1,7.0
2.75,3.8500000000000005,1,8.333333333333334
2.75,3.8500000000000005,1,9.666666666666666
2.75,3.8500000000000005,1,11.0
2.75,3.8500000000000005,1,12.333333333333332
2.75,3.8500000000000005,1,13.666666666666666
2.75,3.8500000000000005,1,15.0
2.75,3.8500000000000005,2,14.0
2.75,3.8500000000000005,2,16.666666666666668
2.75,3.8500000000000005,2,19.333333333333332
2.75,3.8500000000000005,2,22.0
2.75,3.8500000000000005,2,24.666666666666664
2.75,3.8500000000000005,2,27.333333333333332
2.75,3.8500000000000005,2,30.0
2.75,4.2625,1,7.0
2.75,4.2625,1,8.333333333333334
2.75,4.2625,1,9.666666666666666
2.75,4.2625,1,11.0
2.75,4.2625,1,12.333333333333332
2.75,4.2625,1,13.666666666666666
2.75,4.2625,1,15.0
2.75,4.2625,2,14.0
2.75,4.2625,2,16.666666666666668
2.75,4.2625,2,19.333333333333332
2.75,4.2625,2,22.0
2.75,4.2625,2,24.666666666666664
2.75,4.2625,2,27.333333333333332
2.75,4.2625,2,30.0
2.75,4.675000000000001,1,7.0
2.75,4.675000000000001,1,8.333333333333334
2.75,4.675000000000001,1,9.666666666666666
2.75,4.675000000000001,1,11.0
2.75,4.675000000000001,1,12.333333333333332
